Altium Designer Pick and Place Locations
F:\电路设计\AD\PCB_Project_1\Project Outputs for PCB_Project_1\Pick Place for Copy of STM32F103-V1.0.txt

========================================================================================================================
File Design Information:

Date:       05/03/21
Time:       18:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment       Layer       Footprint    Center-X(mil) Center-Y(mil) Rotation Description              Height(mil) 
N1         AMS1117-3.3V  TopLayer    SOT223       617.047       1285.551      270      ""                       0.000       
LCD1       TFT32LCD      TopLayer    HEAD16×2     1965.000      1200.000      270      ""                       0.000       
X2         JX16          TopLayer    SIP16        2860.000      1895.000      90       ""                       0.000       
Y3         12M           TopLayer    JZ-AX        855.000       485.000       270      Crystal                  0.000       
B1         BATTERY       TopLayer    CR1220       3510.646      3605.000      360      ""                       0.000       
Z1         "HEADER 10X2" TopLayer    JTAG         3745.000      1730.000      270      ""                       0.000       
Y2         32.768K       TopLayer    FC135        1996.929      2574.606      360      Crystal                  0.000       
Y1         8M            TopLayer    JZ-AX        1565.000      2105.000      270      Crystal                  0.000       
X8         JX2           TopLayer    WJ128-5.0-2P 265.787       2580.000      0        Connector                0.000       
X7         JX2           TopLayer    WJ128-5.0-2P 268.425       2110.000      0        Connector                0.000       
X6         JX3           TopLayer    SIP3         130.000       960.000       90       Connector                0.000       
X5         JX3           TopLayer    SIP3         255.000       960.000       90       Connector                0.000       
X4         JX3           TopLayer    SIP3         130.000       1620.000      90       Connector                0.000       
X3         JX3           TopLayer    SIP3         255.000       1620.000      90       Connector                0.000       
X1         JX16          TopLayer    SIP16        1085.000      1890.000      90       ""                       0.000       
V6         S8550         TopLayer    SOT23-C1     2732.598      3833.307      0        V                        0.000       
V5         S8550         TopLayer    SOT23-C1     1242.598      3493.307      0        V                        0.000       
V4         S8550         TopLayer    SOT23-C1     1245.000      3831.693      0        V                        0.000       
V3         S8550         TopLayer    SOT23-C1     2735.000      3486.693      0        V                        0.000       
V2         S8050         TopLayer    SOT23-C1     3401.693      2695.000      270      V                        0.000       
V1         S8050         TopLayer    SOT23-C1     580.000       676.693       0        V                        0.000       
USB2       MicroUSB      TopLayer    MicroUSB1    1089.410      111.850       0        母头                       0.000       
USB1       MicroUSB      TopLayer    MicroUSB1    466.182       106.850       0        母头                       0.000       
U10        74HC595       TopLayer    SO-16        2305.000      3091.575      180      串入并出移位寄存器                0.000       
U9         74HC595       TopLayer    SO-16        1690.000      3096.575      180      串入并出移位寄存器                0.000       
U8         NRF24L01      TopLayer    NRF24L01     190.000       3490.000      270      ""                       0.000       
U7         W25Q80BL      TopLayer    W25Q-SO8     775.000       3036.732      90       ""                       0.000       
U6         AT24C02       TopLayer    SO-8         625.000       3430.000      90       ""                       0.000       
U5         CAN-PCA82C250 TopLayer    SO-8         590.000       2550.000      90       ""                       0.000       
U4         SP3485        TopLayer    SO-8         610.000       2070.000      90       ""                       0.000       
U3         SP3232E       TopLayer    SOIC16       2000.000      758.701       270      SP3232EEN-L/TR;SOIC-39MM 0.000       
U2         CH340G        TopLayer    SOIC16       470.000       441.299       90       ""                       0.000       
U1         STM32F103C8T6 TopLayer    LQFP48       1994.842      2079.646      360      ""                       0.000       
